复活之战斗在第三帝国 　　　　世界上再没有比在碧蓝的天空里自由自在的飞翔更享受的事情了。
超凡传 　　“米悠然！老娘和你拼了！”
最强装逼打脸系统 　　一缕刺眼的阳光照耀下，徐缺微眯着眼睛醒来。
天幕神捕 　　二月二，龙抬头！
灭世魔帝 　　兰陵是某重点大学艺术系大三学生，今年十九岁。
相声大师 　　“在想当初，大宋朝文彦博，幼儿倒有灌穴浮球之智。司马温公，倒有破瓮救儿之谋。汉孔融，四岁就懂让梨逊之礼。十三郎五岁朝天。唐刘晏七岁举翰林，汉黄香九岁温席奉亲。秦甘柔十二岁……哎呦！”
科技之门 　　　　十月份的安合市依旧燥热，正午的阳光毫不吝啬地倾泄下来，让整座城市的温度急剧升高。
箭魔 　　“嗖……”
绝对选项 　　“爆裂吧现实，粉碎吧精神，放逐这个世界，遵从血之誓约，吾在此召唤汝，年幼的魔王！”
体坛之召唤猛将 　　“唐，你说你可以射中那只非洲大羚羊？”南非的一处草原上，一个皮肤黝黑的黑人，眯眼看了一眼远处，又转头看向身边一个身高一米八，看着三十五岁上下的黄种人，用一种不太相信的语气说道。
青玄道主 　　这座山叫做青霞山，上山的路途是处蜿蜒曲折的石阶，石阶上还有些许略带湿意的碧绿苔痕。
剑与魔法与出租车 　　打着呵欠，一巴掌拍在闹钟上，把即将要响的叮铃声使劲砸回去，赵迈早已练就了敏捷的身手和迅速的反应，对时间也非常敏感，绝不会让闹钟真正响起来。现在是凌晨两点半，他一直在写书，根本就没睡。隔壁住着一对浅睡的老人家，脾气还很暴躁。如果闹钟真的响了，第二天肯定又得落埋怨。
烽皇 　　江烽愤愤不平的骂了一句娘。
我的大侠系统 　　2015年。
英雄联盟：上帝之手 　　“你已经老了，已经不适合在出现在赛场上了，白鲸！
时光旅行者 　　“小兄弟，我见你骨骼清奇，天庭饱满，绝非常人。你我今日相见既是有缘，我这里有几本绝世武功就交托给你，日后保卫地球的重任就全靠你了！不要多，一本只要十块钱！”灯光幽暗，空寂无人，只有车轮摩擦钢轨声响传入的地铁车厢内响起了一个充满诱惑力的声音。
最强医圣 　　正值九月。
